instance,budget,algorithm,n,m,total_weight,backward_weight,forward_weight,forward_ratio,runtime,status,error,rng_seed,wmsf_seed_mode
gr1-acyclic,100,ipsns_budget_100,10,15,92526.0,0.0,92526.0,1.0,0.000514,ok,,1,full
gr1-acyclic,200,ipsns_budget_200,10,15,92526.0,0.0,92526.0,1.0,0.000508,ok,,1,full
gr1-acyclic,400,ipsns_budget_400,10,15,92526.0,0.0,92526.0,1.0,0.000523,ok,,1,full
gr10,10,ipsns_budget_10,47,83,412347.0,58481.0,353866.0,0.85817527,0.00189,ok,,1,full
gr10,25,ipsns_budget_25,47,83,412347.0,58481.0,353866.0,0.85817527,0.002331,ok,,1,full
gr10,50,ipsns_budget_50,47,83,412347.0,58481.0,353866.0,0.85817527,0.003334,ok,,1,full
gr10,100,ipsns_budget_100,47,83,412347.0,58481.0,353866.0,0.85817527,0.005297,ok,,1,full
gr10,200,ipsns_budget_200,47,83,412347.0,58481.0,353866.0,0.85817527,0.008949,ok,,1,full
gr10,400,ipsns_budget_400,47,83,412347.0,58481.0,353866.0,0.85817527,0.017131,ok,,1,full
grid,10,ipsns_budget_10,1001,3000,5616947.0,32954.0,5583993.0,0.99413311,0.154319,ok,,1,full
grid,25,ipsns_budget_25,1001,3000,5616947.0,32954.0,5583993.0,0.99413311,0.160433,ok,,1,full
grid,50,ipsns_budget_50,1001,3000,5616947.0,32954.0,5583993.0,0.99413311,0.183167,ok,,1,full
grid,100,ipsns_budget_100,1001,3000,5616947.0,32954.0,5583993.0,0.99413311,0.220057,ok,,1,full
grid,200,ipsns_budget_200,1001,3000,5616947.0,32954.0,5583993.0,0.99413311,0.299059,ok,,1,full
grid,400,ipsns_budget_400,1001,3000,5616947.0,32954.0,5583993.0,0.99413311,0.454706,ok,,1,full
mult16a,10,ipsns_budget_10,293,582,868285.0,14348.0,853937.0,0.98347547,0.021381,ok,,1,full
mult16a,25,ipsns_budget_25,293,582,868285.0,14348.0,853937.0,0.98347547,0.038435,ok,,1,full
mult16a,50,ipsns_budget_50,293,582,868285.0,14348.0,853937.0,0.98347547,0.069316,ok,,1,full
mult16a,100,ipsns_budget_100,293,582,868285.0,14348.0,853937.0,0.98347547,0.125877,ok,,1,full
mult16a,200,ipsns_budget_200,293,582,868285.0,14348.0,853937.0,0.98347547,0.243423,ok,,1,full
mult16a,400,ipsns_budget_400,293,582,868285.0,14348.0,853937.0,0.98347547,0.483436,ok,,1,full
mult16b,10,ipsns_budget_10,333,545,818100.0,16618.0,801482.0,0.97968708,0.005625,ok,,1,full
mult16b,25,ipsns_budget_25,333,545,818100.0,16618.0,801482.0,0.97968708,0.008043,ok,,1,full
mult16b,50,ipsns_budget_50,333,545,818100.0,16618.0,801482.0,0.97968708,0.011943,ok,,1,full
mult16b,100,ipsns_budget_100,333,545,818100.0,16618.0,801482.0,0.97968708,0.020359,ok,,1,full
mult16b,200,ipsns_budget_200,333,545,818100.0,16618.0,801482.0,0.97968708,0.037322,ok,,1,full
mult16b,400,ipsns_budget_400,333,545,818100.0,16618.0,801482.0,0.97968708,0.071944,ok,,1,full
mult32a,10,ipsns_budget_10,565,1142,1711627.0,40635.0,1670992.0,0.97625943,0.1016,ok,,1,full
mult32a,25,ipsns_budget_25,565,1142,1711627.0,40635.0,1670992.0,0.97625943,0.188778,ok,,1,full
mult32a,50,ipsns_budget_50,565,1142,1711627.0,40635.0,1670992.0,0.97625943,0.333568,ok,,1,full
mult32a,100,ipsns_budget_100,565,1142,1711627.0,40635.0,1670992.0,0.97625943,0.619378,ok,,1,full
mult32a,200,ipsns_budget_200,565,1142,1711627.0,40635.0,1670992.0,0.97625943,1.199892,ok,,1,full
mult32a,400,ipsns_budget_400,565,1142,1711627.0,40635.0,1670992.0,0.97625943,2.363857,ok,,1,full
peterson1,10,ipsns_budget_10,10,15,27314.0,-332.0,27646.0,1.01215494,0.000911,ok,,1,full
peterson1,25,ipsns_budget_25,10,15,27314.0,-332.0,27646.0,1.01215494,0.000694,ok,,1,full
peterson1,50,ipsns_budget_50,10,15,27314.0,-332.0,27646.0,1.01215494,0.00063,ok,,1,full
peterson1,100,ipsns_budget_100,10,15,27314.0,-332.0,27646.0,1.01215494,0.000603,ok,,1,full
peterson1,200,ipsns_budget_200,10,15,27314.0,-332.0,27646.0,1.01215494,0.000609,ok,,1,full
peterson1,400,ipsns_budget_400,10,15,27314.0,-332.0,27646.0,1.01215494,0.001107,ok,,1,full
peterson2,10,ipsns_budget_10,10,15,27314.0,-1688.0,29002.0,1.06179981,0.00104,ok,,1,full
peterson2,25,ipsns_budget_25,10,15,27314.0,-1688.0,29002.0,1.06179981,0.001191,ok,,1,full
peterson2,50,ipsns_budget_50,10,15,27314.0,-1688.0,29002.0,1.06179981,0.001158,ok,,1,full
peterson2,100,ipsns_budget_100,10,15,27314.0,-1688.0,29002.0,1.06179981,0.001135,ok,,1,full
peterson2,200,ipsns_budget_200,10,15,27314.0,-1688.0,29002.0,1.06179981,0.001107,ok,,1,full
peterson2,400,ipsns_budget_400,10,15,27314.0,-1688.0,29002.0,1.06179981,0.001102,ok,,1,full
rd_1024_2048_1,10,ipsns_budget_10,1024,2047,10174552.0,285351.0,9889201.0,0.97195444,0.896182,ok,,1,full
rd_1024_2048_1,25,ipsns_budget_25,1024,2047,10174552.0,285351.0,9889201.0,0.97195444,1.494538,ok,,1,full
rd_1024_2048_1,50,ipsns_budget_50,1024,2047,10174552.0,285351.0,9889201.0,0.97195444,2.558289,ok,,1,full
rd_1024_2048_1,100,ipsns_budget_100,1024,2047,10174552.0,285351.0,9889201.0,0.97195444,4.546611,ok,,1,full
rd_1024_2048_1,200,ipsns_budget_200,1024,2047,10174552.0,285351.0,9889201.0,0.97195444,8.594042,ok,,1,full
rd_1024_2048_1,400,ipsns_budget_400,1024,2047,10174552.0,285351.0,9889201.0,0.97195444,16.685358,ok,,1,full
rd_big,10,ipsns_budget_10,1000,2999,14980648.0,1061050.0,13919598.0,0.92917196,1.651424,ok,,1,full
rd_big,25,ipsns_budget_25,1000,2999,14980648.0,1061050.0,13919598.0,0.92917196,2.997429,ok,,1,full
rd_big,50,ipsns_budget_50,1000,2999,14980648.0,1061050.0,13919598.0,0.92917196,5.192216,ok,,1,full
rd_big,100,ipsns_budget_100,1000,2999,14980648.0,1061050.0,13919598.0,0.92917196,9.641512,ok,,1,full
rd_big,200,ipsns_budget_200,1000,2999,14980648.0,1061050.0,13919598.0,0.92917196,18.56109,ok,,1,full
rd_big,400,ipsns_budget_400,1000,2999,14980648.0,1061050.0,13919598.0,0.92917196,36.178517,ok,,1,full
s1423,10,ipsns_budget_10,916,1448,2251150.0,55340.0,2195810.0,0.97541701,0.209701,ok,,1,full
s1423,25,ipsns_budget_25,916,1448,2251150.0,55340.0,2195810.0,0.97541701,0.307766,ok,,1,full
s1423,50,ipsns_budget_50,916,1448,2251150.0,55340.0,2195810.0,0.97541701,0.484851,ok,,1,full
s1423,100,ipsns_budget_100,916,1448,2251150.0,55340.0,2195810.0,0.97541701,0.844779,ok,,1,full
s1423,200,ipsns_budget_200,916,1448,2251150.0,55340.0,2195810.0,0.97541701,1.563435,ok,,1,full
s1423,400,ipsns_budget_400,916,1448,2251150.0,55340.0,2195810.0,0.97541701,2.917398,ok,,1,full
s349,10,ipsns_budget_10,278,395,592976.0,6729.0,586247.0,0.98865215,0.007157,ok,,1,full
s349,25,ipsns_budget_25,278,395,592976.0,6729.0,586247.0,0.98865215,0.010695,ok,,1,full
s349,50,ipsns_budget_50,278,395,592976.0,6729.0,586247.0,0.98865215,0.017023,ok,,1,full
s349,100,ipsns_budget_100,278,395,592976.0,6729.0,586247.0,0.98865215,0.027636,ok,,1,full
s349,200,ipsns_budget_200,278,395,592976.0,6729.0,586247.0,0.98865215,0.055021,ok,,1,full
s349,400,ipsns_budget_400,278,395,592976.0,6729.0,586247.0,0.98865215,0.105684,ok,,1,full
s420,10,ipsns_budget_10,101,178,255844.0,158.0,255686.0,0.99938244,0.001808,ok,,1,full
s420,25,ipsns_budget_25,101,178,255844.0,158.0,255686.0,0.99938244,0.002566,ok,,1,full
s420,50,ipsns_budget_50,101,178,255844.0,158.0,255686.0,0.99938244,0.003953,ok,,1,full
s420,100,ipsns_budget_100,101,178,255844.0,158.0,255686.0,0.99938244,0.006823,ok,,1,full
s420,200,ipsns_budget_200,101,178,255844.0,158.0,255686.0,0.99938244,0.013092,ok,,1,full
s420,400,ipsns_budget_400,101,178,255844.0,158.0,255686.0,0.99938244,0.024409,ok,,1,full
s5378,10,ipsns_budget_10,3076,4589,6857924.0,8013.0,6849911.0,0.99883157,0.592029,ok,,1,full
s5378,25,ipsns_budget_25,3076,4589,6857924.0,8013.0,6849911.0,0.99883157,0.994084,ok,,1,full
s5378,50,ipsns_budget_50,3076,4589,6857924.0,8013.0,6849911.0,0.99883157,1.681085,ok,,1,full
s5378,100,ipsns_budget_100,3076,4589,6857924.0,8013.0,6849911.0,0.99883157,3.075276,ok,,1,full
s5378,200,ipsns_budget_200,3076,4589,6857924.0,8013.0,6849911.0,0.99883157,5.741557,ok,,1,full
s5378,400,ipsns_budget_400,3076,4589,6857924.0,8013.0,6849911.0,0.99883157,11.25446,ok,,1,full
s641,10,ipsns_budget_10,477,612,936531.0,2403.0,934128.0,0.99743415,0.016764,ok,,1,full
s641,25,ipsns_budget_25,477,612,936531.0,2403.0,934128.0,0.99743415,0.029682,ok,,1,full
s641,50,ipsns_budget_50,477,612,936531.0,2403.0,934128.0,0.99743415,0.052642,ok,,1,full
s641,100,ipsns_budget_100,477,612,936531.0,2403.0,934128.0,0.99743415,0.095819,ok,,1,full
s641,200,ipsns_budget_200,477,612,936531.0,2403.0,934128.0,0.99743415,0.185038,ok,,1,full
s641,400,ipsns_budget_400,477,612,936531.0,2403.0,934128.0,0.99743415,0.35984,ok,,1,full
s9234,10,ipsns_budget_10,3083,4298,6499889.0,29295.0,6470594.0,0.995493,1.085713,ok,,1,full
s9234,25,ipsns_budget_25,3083,4298,6499889.0,29295.0,6470594.0,0.995493,1.360976,ok,,1,full
s9234,50,ipsns_budget_50,3083,4298,6499889.0,29295.0,6470594.0,0.995493,1.976488,ok,,1,full
s9234,100,ipsns_budget_100,3083,4298,6499889.0,29295.0,6470594.0,0.995493,2.794228,ok,,1,full
s9234,200,ipsns_budget_200,3083,4298,6499889.0,29295.0,6470594.0,0.995493,4.806156,ok,,1,full
s9234,400,ipsns_budget_400,3083,4298,6499889.0,29295.0,6470594.0,0.995493,8.495643,ok,,1,full
