instance_id,n,cv_bw,std_bw,iqr_bw,n_distinct_bw,pct_improved,pct_zero_accepted,min_bw,max_bw,median_bw
gr4,3,0.0,0.0,0.0,1,0.0,100.0,5118.0,5118.0,5118.0
gr4-shift,3,0.0,0.0,0.0,1,0.0,100.0,5118.0,5118.0,5118.0
gr4-shift2,3,0.0,0.0,0.0,1,0.0,100.0,5118.0,5118.0,5118.0
gr5,3,0.0,0.0,0.0,1,0.0,100.0,5118.0,5118.0,5118.0
gr6,3,0.0,0.0,0.0,1,0.0,100.0,14097.0,14097.0,14097.0
gr8,2,0.0,0.0,0.0,1,0.0,100.0,5118.0,5118.0,5118.0
gr9,9,0.0,0.0,0.0,1,0.0,100.0,6120.0,6120.0,6120.0
green,4,0.0,0.0,0.0,1,0.0,100.0,57.0,57.0,57.0
green3,3,0.0,0.0,0.0,1,0.0,100.0,11.0,11.0,11.0
green3nonzero,3,0.0,0.0,0.0,1,0.0,100.0,12.0,12.0,12.0
green4,4,0.0,0.0,0.0,1,0.0,100.0,34.0,34.0,34.0
grid,1001,0.0,0.0,0.0,1,100.0,0.0,32954.0,32954.0,32954.0
howard-min,4,0.0,0.0,0.0,1,0.0,100.0,11.0,11.0,11.0
mm30a,2059,0.0,0.0,0.0,1,0.0,100.0,16351.0,16351.0,16351.0
mm4a,170,0.0,0.0,0.0,1,0.0,100.0,4053.0,4053.0,4053.0
mm9a,631,0.0,0.0,0.0,1,100.0,0.0,9542.0,9542.0,9542.0
mm9b,777,0.0,0.0,0.0,1,0.0,100.0,8278.0,8278.0,8278.0
mult16a,293,0.0,0.0,0.0,1,0.0,100.0,14348.0,14348.0,14348.0
mult16b,333,0.0,0.0,0.0,1,0.0,100.0,16618.0,16618.0,16618.0
mult32a,565,0.0,0.0,0.0,1,0.0,100.0,40635.0,40635.0,40635.0
parker1986,2795,0.0,0.0,0.0,1,100.0,0.0,122961.0,122961.0,122961.0
phase_decoder,1671,0.0,0.0,0.0,1,0.0,100.0,46676.0,46676.0,46676.0
present,4,0.0,0.0,0.0,1,0.0,100.0,40.0,40.0,40.0
r1000,999,0.0,0.0,0.0,1,100.0,0.0,4055.0,4055.0,4055.0
r20_60,20,0.0,0.0,0.0,1,0.0,100.0,1688.0,1688.0,1688.0
rd_1024_2048_1,1024,0.0,0.0,0.0,1,100.0,0.0,285351.0,285351.0,285351.0
rd_10_30_1997,10,0.0,0.0,0.0,1,0.0,100.0,38091.0,38091.0,38091.0
rd_4_4_90,4,0.0,0.0,0.0,1,0.0,100.0,807.0,807.0,807.0
rd_4_8_90,4,0.0,0.0,0.0,1,0.0,100.0,7842.0,7842.0,7842.0
rd_5_10_90,5,0.0,0.0,0.0,1,0.0,100.0,6343.0,6343.0,6343.0
rd_big,1000,0.0,0.0,0.0,1,100.0,0.0,1061050.0,1061050.0,1061050.0
s1423,916,0.0,0.0,0.0,1,0.0,100.0,55340.0,55340.0,55340.0
s208,83,0.0,0.0,0.0,1,0.0,100.0,2829.0,2829.0,2829.0
s27,54,0.0,0.0,0.0,1,0.0,100.0,1905.0,1905.0,1905.0
s344,274,0.0,0.0,0.0,1,0.0,100.0,6001.0,6001.0,6001.0
s349,278,0.0,0.0,0.0,1,0.0,100.0,6729.0,6729.0,6729.0
s382,273,0.0,0.0,0.0,1,100.0,0.0,10454.0,10454.0,10454.0
s400,287,0.0,0.0,0.0,1,0.0,100.0,10329.0,10329.0,10329.0
s420,101,0.0,0.0,0.0,1,0.0,100.0,158.0,158.0,158.0
s444,315,0.0,0.0,0.0,1,0.0,100.0,8547.0,8547.0,8547.0
s526,318,0.0,0.0,0.0,1,0.0,100.0,16261.0,16261.0,16261.0
s526n,292,0.0,0.0,0.0,1,0.0,100.0,14826.0,14826.0,14826.0
s5378,3076,0.0,0.0,0.0,1,100.0,0.0,8013.0,8013.0,8013.0
s641,477,0.0,0.0,0.0,1,0.0,100.0,2403.0,2403.0,2403.0
s713,515,0.0,0.0,0.0,1,0.0,100.0,2339.0,2339.0,2339.0
s838,665,0.0,0.0,0.0,1,0.0,100.0,16098.0,16098.0,16098.0
s9234,3083,0.0,0.0,0.0,1,100.0,0.0,29295.0,29295.0,29295.0
s953,730,0.0,0.0,0.0,1,100.0,0.0,6228.0,6228.0,6228.0
sample,4,0.0,0.0,0.0,1,0.0,100.0,40.0,40.0,40.0
sbc,1147,0.0,0.0,0.0,1,0.0,100.0,10094.0,10094.0,10094.0
small,7,nan,0.0,0.0,1,0.0,100.0,0.0,0.0,0.0
stg,20,0.0,0.0,0.0,1,0.0,100.0,5.0,5.0,5.0
trace,12,0.0,0.0,0.0,1,0.0,100.0,2.0,2.0,2.0
