instance,method,seed_method,budget_label,n,m,total_weight,seed_bw,backward_weight,improvement_over_seed,runtime_seconds,seed_runtime_seconds,ls_runtime_seconds,accepted_moves,passes_completed,stopped_reason,status,error
example.new,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,18,27,150341.0,18638.0,18638.0,0.0,0.000104,7.2e-05,3.2e-05,0,1,local_optimum,ok,
gr1-acyclic,lrta_adj_swap_ls,lrta,max_passes=20,10,15,92526.0,0.0,0.0,0.0,2.6e-05,2.3e-05,3e-06,0,1,local_optimum,ok,
gr1-acyclic,lrta_insert_ls,lrta,max_moves=200;time=60.0s,10,15,92526.0,0.0,0.0,0.0,3.6e-05,2.3e-05,1.3e-05,0,1,local_optimum,ok,
gr1-acyclic,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,10,15,92526.0,0.0,0.0,0.0,3.6e-05,2.5e-05,1.1e-05,0,1,local_optimum,ok,
gr10,lrta_adj_swap_ls,lrta,max_passes=20,47,83,412347.0,62435.0,62435.0,0.0,0.000253,0.000246,7e-06,0,1,local_optimum,ok,
gr10,lrta_insert_ls,lrta,max_moves=200;time=60.0s,47,83,412347.0,62435.0,58481.0,3954.0,0.000659,0.000246,0.000413,2,2,local_optimum,ok,
gr10,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,47,83,412347.0,58481.0,58481.0,0.0,0.000855,0.000658,0.000197,0,1,local_optimum,ok,
grid,lrta_adj_swap_ls,lrta,max_passes=20,1001,3000,5616947.0,32957.0,32957.0,0.0,0.129909,0.129775,0.000134,0,1,local_optimum,ok,
grid,lrta_insert_ls,lrta,max_moves=200;time=60.0s,1001,3000,5616947.0,32957.0,32948.0,9.0,0.284791,0.129775,0.155016,4,2,local_optimum,ok,
grid,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,1001,3000,5616947.0,32946.0,32946.0,0.0,0.08881,0.012848,0.075962,0,1,local_optimum,ok,
mult16a,lrta_adj_swap_ls,lrta,max_passes=20,293,582,868285.0,14348.0,14348.0,0.0,0.001827,0.001793,3.4e-05,0,1,local_optimum,ok,
mult16a,lrta_insert_ls,lrta,max_moves=200;time=60.0s,293,582,868285.0,14348.0,14348.0,0.0,0.009031,0.001793,0.007238,0,1,local_optimum,ok,
mult16a,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,293,582,868285.0,14348.0,14348.0,0.0,0.009213,0.001793,0.00742,0,1,local_optimum,ok,
mult16b,lrta_adj_swap_ls,lrta,max_passes=20,333,545,818100.0,16618.0,16618.0,0.0,0.001311,0.001271,4e-05,0,1,local_optimum,ok,
mult16b,lrta_insert_ls,lrta,max_moves=200;time=60.0s,333,545,818100.0,16618.0,16618.0,0.0,0.01088,0.001271,0.009609,0,1,local_optimum,ok,
mult16b,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,333,545,818100.0,16618.0,16618.0,0.0,0.011164,0.001271,0.009893,0,1,local_optimum,ok,
mult32a,lrta_adj_swap_ls,lrta,max_passes=20,565,1142,1711627.0,40635.0,40635.0,0.0,0.008681,0.00861,7.1e-05,0,1,local_optimum,ok,
mult32a,lrta_insert_ls,lrta,max_moves=200;time=60.0s,565,1142,1711627.0,40635.0,40635.0,0.0,0.039166,0.00861,0.030556,0,1,local_optimum,ok,
mult32a,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,565,1142,1711627.0,40635.0,40635.0,0.0,0.03802,0.00861,0.02941,0,1,local_optimum,ok,
peterson1,lrta_adj_swap_ls,lrta,max_passes=20,10,15,27314.0,-332.0,-2674.0,2342.0,2.9e-05,2.5e-05,5e-06,1,2,local_optimum,ok,
peterson1,lrta_insert_ls,lrta,max_moves=200;time=60.0s,10,15,27314.0,-332.0,-4376.0,4044.0,6.2e-05,2.5e-05,3.8e-05,4,3,local_optimum,ok,
peterson1,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,10,15,27314.0,-332.0,-4376.0,4044.0,0.00018,0.000145,3.5e-05,4,3,local_optimum,ok,
peterson2,lrta_adj_swap_ls,lrta,max_passes=20,10,15,27314.0,-1688.0,-4030.0,2342.0,2.8e-05,2.3e-05,4e-06,1,2,local_optimum,ok,
peterson2,lrta_insert_ls,lrta,max_moves=200;time=60.0s,10,15,27314.0,-1688.0,-5268.0,3580.0,5e-05,2.3e-05,2.6e-05,2,2,local_optimum,ok,
peterson2,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,10,15,27314.0,-1688.0,-5268.0,3580.0,0.000146,0.000122,2.4e-05,2,2,local_optimum,ok,
rd_1024_2048_1,lrta_adj_swap_ls,lrta,max_passes=20,1024,2047,10174552.0,296189.0,296189.0,0.0,0.048957,0.048833,0.000123,0,1,local_optimum,ok,
rd_1024_2048_1,lrta_insert_ls,lrta,max_moves=200;time=60.0s,1024,2047,10174552.0,296189.0,295468.0,721.0,0.231149,0.048833,0.182315,2,2,local_optimum,ok,
rd_1024_2048_1,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,1024,2047,10174552.0,296189.0,295468.0,721.0,0.232583,0.048833,0.18375,2,2,local_optimum,ok,
rd_big,lrta_adj_swap_ls,lrta,max_passes=20,1000,2999,14980648.0,1096757.0,1096757.0,0.0,0.111295,0.111152,0.000143,0,1,local_optimum,ok,
rd_big,lrta_insert_ls,lrta,max_moves=200;time=60.0s,1000,2999,14980648.0,1096757.0,1076128.0,20629.0,0.274339,0.111152,0.163187,9,2,local_optimum,ok,
rd_big,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,1000,2999,14980648.0,1096757.0,1076128.0,20629.0,0.276493,0.111152,0.165341,9,2,local_optimum,ok,
s1423,lrta_adj_swap_ls,lrta,max_passes=20,916,1448,2251150.0,55340.0,55340.0,0.0,0.011537,0.01143,0.000107,0,1,local_optimum,ok,
s1423,lrta_insert_ls,lrta,max_moves=200;time=60.0s,916,1448,2251150.0,55340.0,55340.0,0.0,0.080503,0.01143,0.069073,0,1,local_optimum,ok,
s1423,bestseed_insert_ls,lrta,max_moves=200;time=60.0s,916,1448,2251150.0,55340.0,55340.0,0.0,0.07967,0.01143,0.068241,0,1,local_optimum,ok,
s349,lrta_adj_swap_ls,lrta,max_passes=20,278,395,592976.0,6729.0,6729.0,0.0,0.000878,0.000848,3e-05,0,1,local_optimum,ok,
s349,lrta_insert_ls,lrta,max_moves=200;time=60.0s,278,395,592976.0,6729.0,6729.0,0.0,0.006679,0.000848,0.005831,0,1,local_optimum,ok,
s349,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,278,395,592976.0,6729.0,6729.0,0.0,0.011014,0.005112,0.005902,0,1,local_optimum,ok,
s420,lrta_adj_swap_ls,lrta,max_passes=20,101,178,255844.0,158.0,158.0,0.0,0.000136,0.000125,1.1e-05,0,1,local_optimum,ok,
s420,lrta_insert_ls,lrta,max_moves=200;time=60.0s,101,178,255844.0,158.0,158.0,0.0,0.000886,0.000125,0.000761,0,1,local_optimum,ok,
s420,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,101,178,255844.0,158.0,158.0,0.0,0.001011,0.000268,0.000743,0,1,local_optimum,ok,
s5378,lrta_adj_swap_ls,lrta,max_passes=20,3076,4589,6857924.0,8771.0,8771.0,0.0,0.025048,0.024679,0.000369,0,1,local_optimum,ok,
s5378,lrta_insert_ls,lrta,max_moves=200;time=60.0s,3076,4589,6857924.0,8771.0,8771.0,0.0,0.894853,0.024679,0.870174,0,1,local_optimum,ok,
s5378,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,3076,4589,6857924.0,8013.0,8013.0,0.0,1.579181,0.719996,0.859185,0,1,local_optimum,ok,
s641,lrta_adj_swap_ls,lrta,max_passes=20,477,612,936531.0,2403.0,2403.0,0.0,0.001708,0.001646,6.2e-05,0,1,local_optimum,ok,
s641,lrta_insert_ls,lrta,max_moves=200;time=60.0s,477,612,936531.0,2403.0,2403.0,0.0,0.023772,0.001646,0.022126,0,1,local_optimum,ok,
s641,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,477,612,936531.0,2403.0,2403.0,0.0,0.031582,0.009379,0.022202,0,1,local_optimum,ok,
s9234,lrta_adj_swap_ls,lrta,max_passes=20,3083,4298,6499889.0,29326.0,29326.0,0.0,0.040194,0.039834,0.00036,0,1,local_optimum,ok,
s9234,lrta_insert_ls,lrta,max_moves=200;time=60.0s,3083,4298,6499889.0,29326.0,29326.0,0.0,0.879897,0.039834,0.840063,0,1,local_optimum,ok,
s9234,bestseed_insert_ls,wmsf,max_moves=200;time=60.0s,3083,4298,6499889.0,29295.0,29295.0,0.0,2.375834,1.522311,0.853524,0,1,local_optimum,ok,
