instance,n,m,total_weight,exact_bw,lrta_bw,wmsf_bw,ipsns_bw,lrta_gap_abs,wmsf_gap_abs,ipsns_gap_abs,lrta_gap_rel,wmsf_gap_rel,ipsns_gap_rel,lrta_is_optimal,wmsf_is_optimal,ipsns_is_optimal,exact_time,lrta_time,wmsf_time,ipsns_time,exact_status,lrta_status,wmsf_status,ipsns_status
complete7,7,42,42.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000502,0.000469,0.000604,0.02102,ok,ok,ok,ok
stg0,8,11,,,-3.0,-3.0,-3.0,,,,,,,,,,0.000292,0.000409,0.000428,0.00047,error: list index out of range,ok,ok,ok
complete8,8,56,56.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.000636,0.000506,0.000656,0.026218,ok,ok,ok,ok
bad6,9,10,11262.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.001043,0.00041,0.000494,0.007573,ok,ok,ok,ok
gr-paper,9,11,57.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.001003,0.000407,0.000473,0.006744,ok,ok,ok,ok
gr9,9,12,64649.0,6120.0,6120.0,6120.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.001027,0.000421,0.000452,0.006666,ok,ok,ok,ok
complete9,9,72,72.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.001015,0.000545,0.000732,0.032971,ok,ok,ok,ok
bad4,10,11,22216.0,877.0,877.0,877.0,877.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.001987,0.000429,0.000509,0.008377,ok,ok,ok,ok
bad5,10,11,20886.0,770.0,770.0,770.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.00198,0.000421,0.000529,0.008224,ok,ok,ok,ok
gr1-acyclic,10,15,92526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.002029,0.000434,0.000407,0.000472,ok,ok,ok,ok
peterson,10,15,27314.0,-4396.0,-332.0,-332.0,-332.0,4064.0,4064.0,4064.0,0.14878817,0.14878817,0.14878817,False,False,False,0.002005,0.000418,0.000484,0.000549,ok,ok,ok,ok
peterson1,10,15,27314.0,-4396.0,-332.0,-332.0,-332.0,4064.0,4064.0,4064.0,0.14878817,0.14878817,0.14878817,False,False,False,0.002081,0.000418,0.000507,0.000528,ok,ok,ok,ok
peterson2,10,15,27314.0,-5268.0,-1688.0,-1688.0,-1688.0,3580.0,3580.0,3580.0,0.13106832,0.13106832,0.13106832,False,False,False,0.002034,0.000413,0.000542,0.000571,ok,ok,ok,ok
gr1,10,16,98315.0,15969.0,15969.0,16491.0,15969.0,0.0,522.0,0.0,0.0,0.00530946,0.0,True,False,True,0.002064,0.000447,0.000517,0.013086,ok,ok,ok,ok
